file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
modules\commons\src\main\java\org\apache\synapse\commons\jmx\MBeanRepository.java,0,4,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\jmx\ThreadingView.java,3,23,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\jmx\ThreadingViewMBean.java,0,12,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\snmp\SNMPAgent.java,1,10,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\snmp\SNMPConstants.java,1,0,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\snmp\SynapseMIBUtils.java,1,1,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\snmp\SynapseMOScalar.java,1,1,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\snmp\SynapseSNMPAgent.java,1,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\util\MiscellaneousUtil.java,1,6,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\util\PropertyHelper.java,1,5,16,0,0
modules\commons\src\main\java\org\apache\synapse\commons\util\RMIRegistryController.java,1,9,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\util\TemporaryData.java,3,23,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\evaluators\config\EqualBuilderTest.java,1,4,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\evaluators\config\EqualSerializerTest.java,1,4,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\evaluators\config\MatchBuilderTest.java,1,4,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\evaluators\config\MatchSerializerTest.java,1,4,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\evaluators\source\SourceTextRetrieverTest.java,1,5,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\executors\DummyTask.java,1,7,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\executors\MultiPriorityBlockingQueueAbstractTest.java,1,2,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\executors\MultiPriorityBlockingQueueStressTest.java,3,12,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\executors\MultiPriorityBlockingQueueTest.java,1,16,0,0,0
modules\commons\src\test\java\org\apache\synapse\commons\executors\queues\FixedQueueTest.java,1,7,0,0,0
modules\commons\src\test\java\org\apache\synapse\util\TemporaryDataTest.java,1,7,0,0,0
modules\core\src\main\java\org\apache\synapse\Axis2SynapseController.java,1,35,0,0,0
modules\core\src\main\java\org\apache\synapse\Command.java,0,1,0,0,0
modules\core\src\main\java\org\apache\synapse\FaultHandler.java,1,5,0,0,0
modules\core\src\main\java\org\apache\synapse\Identifiable.java,0,1,0,0,0
modules\core\src\main\java\org\apache\synapse\JmxAdapter.java,1,7,0,0,0
modules\core\src\main\java\org\apache\synapse\ManagedLifecycle.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\Mediator.java,0,5,0,0,0
modules\core\src\main\java\org\apache\synapse\MessageContext.java,0,54,0,0,0
modules\core\src\main\java\org\apache\synapse\Nameable.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\PropertyInclude.java,0,5,0,0,0
modules\core\src\main\java\org\apache\synapse\SecretManagerAdminMBeanImpl.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerConfigurationInformation.java,1,31,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerConfigurationInformationFactory.java,1,8,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerContextInformation.java,1,11,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerManager.java,1,20,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerManagerView.java,1,8,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerManagerViewMBean.java,0,8,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerState.java,0,6,0,0,0
modules\core\src\main\java\org\apache\synapse\ServerStateDetectionStrategy.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\Startup.java,0,3,0,0,0
modules\core\src\main\java\org\apache\synapse\SynapseArtifact.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\SynapseConstants.java,2,0,0,0,0
modules\core\src\main\java\org\apache\synapse\SynapseController.java,0,13,0,0,0
modules\core\src\main\java\org\apache\synapse\SynapseControllerFactory.java,1,6,0,0,0
modules\core\src\main\java\org\apache\synapse\SynapseException.java,1,0,0,0,0
modules\core\src\main\java\org\apache\synapse\SynapseLog.java,0,13,0,0,0
modules\core\src\main\java\org\apache\synapse\SynapseServer.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\AspectConfigurable.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\AspectConfiguration.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\AspectConfigurationDetectionStrategy.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\ComponentType.java,0,0,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\ErrorLog.java,1,9,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\ErrorLogFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsCleaner.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsCollector.java,1,5,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsConfigurable.java,0,3,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsLog.java,1,13,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsRecord.java,1,12,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsRecordFactory.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsReporter.java,1,10,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\StatisticsUpdateStrategy.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\mbean\StatisticsView.java,1,9,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\mbean\StatisticsViewMBean.java,0,7,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\view\InOutStatisticsView.java,1,6,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\view\PerUserDomainViewStrategy.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\view\PerUserIPViewStrategy.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\view\PerUserViewStrategy.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\view\Statistics.java,1,11,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\view\StatisticsViewStrategy.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\aspects\statistics\view\SystemViewStrategy.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\AbstractSynapseObserver.java,1,16,0,0,0
modules\core\src\main\java\org\apache\synapse\config\Entry.java,1,29,0,0,0
modules\core\src\main\java\org\apache\synapse\config\SynapseConfiguration.java,1,102,0,0,0
modules\core\src\main\java\org\apache\synapse\config\SynapseConfigurationBuilder.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\SynapseConfigUtils.java,1,28,0,0,0
modules\core\src\main\java\org\apache\synapse\config\SynapseObserver.java,0,16,0,0,0
modules\core\src\main\java\org\apache\synapse\config\SynapsePropertiesLoader.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\XMLToObjectMapper.java,0,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractDBMediatorFactory.java,1,8,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractDBMediatorSerializer.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractListMediatorFactory.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractListMediatorSerializer.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractMediatorFactory.java,1,7,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AbstractMediatorSerializer.java,1,9,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AggregateMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AggregateMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnnotatedCommandMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnonymousListMediator.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnonymousListMediatorFactory.java,1,1,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\AnonymousListMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\BeanMediatorFactory.java,1,6,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\BeanMediatorSerializer.java,1,7,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CacheMediatorFactory.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CacheMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CalloutMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CalloutMediatorSerializer.java,1,2,0,0,0
